2026-05-13 07:16:34.242 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:16:34.329 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071634.csv] | [size_mb: 0.02]
2026-05-13 07:17:04.334 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:17:04.342 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:17:04.443 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071704.csv] | [size_mb: 0.02]
2026-05-13 07:17:34.449 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:17:34.466 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:17:34.555 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071734.csv] | [size_mb: 0.02]
2026-05-13 07:18:04.564 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:18:04.572 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:18:04.650 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071804.csv] | [size_mb: 0.02]
2026-05-13 07:18:34.659 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:18:34.667 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:18:34.760 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071834.csv] | [size_mb: 0.02]
2026-05-13 07:19:04.767 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:19:04.780 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:19:04.865 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071904.csv] | [size_mb: 0.02]
2026-05-13 07:19:34.875 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:19:34.884 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:19:34.964 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_071934.csv] | [size_mb: 0.02]
2026-05-13 07:20:04.973 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:20:04.984 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:20:05.089 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072005.csv] | [size_mb: 0.02]
2026-05-13 07:20:35.094 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:20:35.101 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:20:35.174 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072035.csv] | [size_mb: 0.02]
2026-05-13 07:21:05.183 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:21:05.191 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:21:05.282 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072105.csv] | [size_mb: 0.02]
2026-05-13 07:21:35.292 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:21:35.300 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:21:35.383 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072135.csv] | [size_mb: 0.02]
2026-05-13 07:22:05.391 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:22:05.399 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:22:05.478 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072205.csv] | [size_mb: 0.02]
2026-05-13 07:22:35.488 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:22:35.497 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:22:35.580 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072235.csv] | [size_mb: 0.02]
2026-05-13 07:23:05.592 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:23:05.601 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:23:05.691 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072305.csv] | [size_mb: 0.02]
2026-05-13 07:23:35.702 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:23:35.712 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:23:35.797 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072335.csv] | [size_mb: 0.02]
2026-05-13 07:24:05.806 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:24:05.817 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:24:05.906 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072405.csv] | [size_mb: 0.02]
2026-05-13 07:24:35.917 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:24:35.925 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:24:36.011 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_072435.csv] | [size_mb: 0.02]
2026-05-13 07:25:06.022 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:25:06.032 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
